"Publication_Year","Table","Health_Indicator_Desc","Strata","Strata_Name","County","Rank_Order","Denominator_Total","Denominator_Average","Denominator_Label","Denominator_Year_Period","Numerator_Total","Numerator_Average","Numerator_Label","Numerator_Year_Period","Rate_Multiplier","Rate/Percentage","Rate/Percentage_Label","Age-Adjusted_Rate","Age-Adjusted_Rate_Label","Lower_Confidence_Limit","Upper_Confidence_Limit","Healthy_People_Decade","Healthy_People_Objective_Number","Healthy_People_Objective_Target","Healthy_People_Objective_Met","Denominator_Annotation_Code","Numerator_Annotation_Code","Rates_Annotation_Code","Annotation_Desc"
2021,1,Deaths Due to All Causes,Total Population,Total Population,Mono,1,13827,13827.0,Population,2018,160,53.3,Deaths,2017-2019,100000,385.7,Crude Death Rate,348.3,Age-Adjusted Death Rate,291.6,405.1,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,San Mateo,2,774570,774570.0,Population,2018,14265,4755.0,Deaths,2017-2019,100000,613.9,Crude Death Rate,426.1,Age-Adjusted Death Rate,418.7,433.5,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Santa Clara,3,1955946,1955946.0,Population,2018,30718,10239.3,Deaths,2017-2019,100000,523.5,Crude Death Rate,460.5,Age-Adjusted Death Rate,455.3,465.7,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Marin,4,262326,262326.0,Population,2018,5893,1964.3,Deaths,2017-2019,100000,748.8,Crude Death Rate,461.4,Age-Adjusted Death Rate,449.2,473.7,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,San Francisco,5,886618,886618.0,Population,2018,17505,5835.0,Deaths,2017-2019,100000,658.1,Crude Death Rate,480.9,Age-Adjusted Death Rate,473.6,488.2,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Alameda,6,1662730,1662730.0,Population,2018,30142,10047.3,Deaths,2017-2019,100000,604.3,Crude Death Rate,531.9,Age-Adjusted Death Rate,525.7,538.0,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Orange,7,3215372,3215372.0,Population,2018,61104,20368.0,Deaths,2017-2019,100000,633.5,Crude Death Rate,534.0,Age-Adjusted Death Rate,529.7,538.3,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,El Dorado,8,189360,189360.0,Population,2018,4776,1592.0,Deaths,2017-2019,100000,840.7,Crude Death Rate,548.4,Age-Adjusted Death Rate,531.8,565.0,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Monterey,9,444252,444252.0,Population,2018,7873,2624.3,Deaths,2017-2019,100000,590.7,Crude Death Rate,555.1,Age-Adjusted Death Rate,542.7,567.6,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Los Angeles,10,10269935,10269935.0,Population,2018,192384,64128.0,Deaths,2017-2019,100000,624.4,Crude Death Rate,556.4,Age-Adjusted Death Rate,553.8,558.9,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Imperial,11,188948,188948.0,Population,2018,3354,1118.0,Deaths,2017-2019,100000,591.7,Crude Death Rate,558.6,Age-Adjusted Death Rate,539.1,578.0,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Contra Costa,12,1147327,1147327.0,Population,2018,23752,7917.3,Deaths,2017-2019,100000,690.1,Crude Death Rate,561.4,Age-Adjusted Death Rate,554.1,568.6,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,San Benito,13,61437,61437.0,Population,2018,1080,360.0,Deaths,2017-2019,100000,586.0,Crude Death Rate,563.5,Age-Adjusted Death Rate,529.2,597.8,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Ventura,14,855713,855713.0,Population,2018,17608,5869.3,Deaths,2017-2019,100000,685.9,Crude Death Rate,566.8,Age-Adjusted Death Rate,558.2,575.3,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Santa Cruz,15,275168,275168.0,Population,2018,5290,1763.3,Deaths,2017-2019,100000,640.8,Crude Death Rate,569.7,Age-Adjusted Death Rate,553.9,585.5,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Sierra,16,3136,3136.0,Population,2018,109,36.3,Deaths,2017-2019,100000,1158.6,Crude Death Rate,570.6,Age-Adjusted Death Rate,453.1,688.1,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Santa Barbara,17,452953,452953.0,Population,2018,9712,3237.3,Deaths,2017-2019,100000,714.7,Crude Death Rate,585.2,Age-Adjusted Death Rate,573.2,597.2,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Nevada,18,98626,98626.0,Population,2018,3159,1053.0,Deaths,2017-2019,100000,1067.7,Crude Death Rate,590.3,Age-Adjusted Death Rate,567.5,613.0,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,San Diego,19,3344438,3344438.0,Population,2018,65647,21882.3,Deaths,2017-2019,100000,654.3,Crude Death Rate,590.6,Age-Adjusted Death Rate,586.0,595.2,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Sonoma,20,500499,500499.0,Population,2018,12417,4139.0,Deaths,2017-2019,100000,827.0,Crude Death Rate,591.4,Age-Adjusted Death Rate,580.6,602.2,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,CALIFORNIA,,39817785,39817785.0,Population,2018,806641,268880.3,Deaths,2017-2019,100000,675.3,Crude Death Rate,592.6,Age-Adjusted Death Rate,591.3,593.9,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Mariposa,21,17904,17904.0,Population,2018,611,203.7,Deaths,2017-2019,100000,1137.5,Crude Death Rate,604.3,Age-Adjusted Death Rate,551.0,657.5,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Riverside,22,2420714,2420714.0,Population,2018,51710,17236.7,Deaths,2017-2019,100000,712.0,Crude Death Rate,607.5,Age-Adjusted Death Rate,602.1,612.8,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Napa,23,140573,140573.0,Population,2018,3718,1239.3,Deaths,2017-2019,100000,881.6,Crude Death Rate,612.2,Age-Adjusted Death Rate,591.6,632.7,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Placer,24,389278,389278.0,Population,2018,9878,3292.7,Deaths,2017-2019,100000,845.8,Crude Death Rate,614.4,Age-Adjusted Death Rate,602.1,626.8,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,San Luis Obispo,25,279321,279321.0,Population,2018,7399,2466.3,Deaths,2017-2019,100000,883.0,Crude Death Rate,627.7,Age-Adjusted Death Rate,612.9,642.6,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Yolo,26,222054,222054.0,Population,2018,4031,1343.7,Deaths,2017-2019,100000,605.1,Crude Death Rate,648.3,Age-Adjusted Death Rate,628.0,668.6,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Madera,27,158511,158511.0,Population,2018,3319,1106.3,Deaths,2017-2019,100000,698.0,Crude Death Rate,649.1,Age-Adjusted Death Rate,626.7,671.5,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Calaveras,28,44572,44572.0,Population,2018,1547,515.7,Deaths,2017-2019,100000,1156.9,Crude Death Rate,651.8,Age-Adjusted Death Rate,615.4,688.3,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Amador,29,38146,38146.0,Population,2018,1336,445.3,Deaths,2017-2019,100000,1167.4,Crude Death Rate,660.6,Age-Adjusted Death Rate,622.8,698.3,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Plumas,30,18702,18702.0,Population,2018,670,223.3,Deaths,2017-2019,100000,1194.2,Crude Death Rate,671.2,Age-Adjusted Death Rate,612.3,730.1,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Colusa,31,22260,22260.0,Population,2018,490,163.3,Deaths,2017-2019,100000,733.8,Crude Death Rate,679.4,Age-Adjusted Death Rate,617.1,741.7,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Solano,32,439975,439975.0,Population,2018,10431,3477.0,Deaths,2017-2019,100000,790.3,Crude Death Rate,686.2,Age-Adjusted Death Rate,672.8,699.6,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Modoc,33,9487,9487.0,Population,2018,331,110.3,Deaths,2017-2019,100000,1163.0,Crude Death Rate,690.0,Age-Adjusted Death Rate,608.0,772.1,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Inyo,34,18522,18522.0,Population,2018,649,216.3,Deaths,2017-2019,100000,1168.0,Crude Death Rate,695.4,Age-Adjusted Death Rate,638.1,752.7,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Sutter,35,101337,101337.0,Population,2018,2519,839.7,Deaths,2017-2019,100000,828.6,Crude Death Rate,702.2,Age-Adjusted Death Rate,674.2,730.1,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Mendocino,36,88875,88875.0,Population,2018,2566,855.3,Deaths,2017-2019,100000,962.4,Crude Death Rate,710.1,Age-Adjusted Death Rate,681.5,738.8,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Sacramento,37,1537386,1537386.0,Population,2018,35743,11914.3,Deaths,2017-2019,100000,775.0,Crude Death Rate,710.5,Age-Adjusted Death Rate,703.1,718.0,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Tulare,38,475781,475781.0,Population,2018,9362,3120.7,Deaths,2017-2019,100000,655.9,Crude Death Rate,715.6,Age-Adjusted Death Rate,701.0,730.3,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Trinity,39,13385,13385.0,Population,2018,478,159.3,Deaths,2017-2019,100000,1190.4,Crude Death Rate,718.2,Age-Adjusted Death Rate,644.9,791.4,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Fresno,40,1010837,1010837.0,Population,2018,21241,7080.3,Deaths,2017-2019,100000,700.4,Crude Death Rate,726.5,Age-Adjusted Death Rate,716.6,736.4,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Tuolumne,41,52843,52843.0,Population,2018,2047,682.3,Deaths,2017-2019,100000,1291.2,Crude Death Rate,733.9,Age-Adjusted Death Rate,699.3,768.6,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Kings,42,153318,153318.0,Population,2018,2655,885.0,Deaths,2017-2019,100000,577.2,Crude Death Rate,734.6,Age-Adjusted Death Rate,706.0,763.2,2020,,,,,,,
2021,1,Deaths Due to All Causes,Total Population,Total Population,Merced,43,279433,279433.0,Population,2018,5332,1777.3,Deaths,2017-2019,100000,636.0,Crude Death Rate,738.4,Age-Adjusted Death Rate,718.3,758.4,2020,,,,,,,
